measure,72
meeting,35
memory,33
merchant,21
mercy,93
merit,32
merry,103
messenger,98
midnight,19
might,458
mighty,99
milan,11
minds,37
minister,27
miranda,3
mirth,21
mischief,23
misery,16
mistake,29
mistress,257
modest,31
money,98
monster,20
month,23
morning,69
morrow,19
mortal,84
mother,161
motion,48
mouth,64
mowbray,8
murder,44
murther,21
music,96
myself,305
naked,39
names,25
native,42
natural,51
nature,218
needs,141
neighbour,27
neither,118
never,959
niece,24
night,274
noble,574
noise,72
nothing,436
nought,45
number,36
nurse,25
oaths,36
obedience,21
oberon,8
object,26
occasion,55
offence,51
offend,48
offer,68
office,70
often,119
oliver,8
opinion,45
order,67
orlando,14
other,555
others,333
ourselves,72
outward,45
oxford,13
padua,11
pains,45
painted,45
painter,8
palace,131
pandarus,15
paper,50
pardon,191
paris,48
parolles,14
parted,33
particular,41
partly,33
parts,74
party,38
passage,29
passion,67
patience,68
patient,36
paulina,5
peace,186
pedro,8
people,98
perceive,84
percy,26
perfect,43
perhaps,33
peril,24
permission,1
person,76
personal,233
phebe,6
philip,9
picture,20
piece,77
pistol,24
place,233
plague,82
plain,86
plead,41
please,339
pleasure,85
pluck,106
poins,12
point,92
poison,52
policy,26
polixenes,10
pompey,40
porter,15
possible,27
posthumus,24
pound,40
power,209
practice,24
praise,123
prayers,49
precious,69
prepare,52
presence,67
present,203
pretty,101
pride,58
priest,30
prince,332
prison,33
private,54
prize,25
proceed,33
proclaim,37
profit,27
prohibited,221
project,244
prologue,21
promise,70
proof,42
proper,60
protector,22
protest,30
proud,159
prove,222
provided,247
public,55
purpose,117
purse,36
quality,28
quarrel,66
queen,466
question,93
quick,62
quiet,51
quite,69
quoth,65
raise,45
ransom,34
rascal,22
rather,272
readable,223
ready,80
realm,25
reason,179
receive,87
regard,28
reign,21
reignier,8
remain,45
remedy,12
remember,137
render,39
repair,36
repent,39
report,94
reputation,23
request,32
respect,67
return,135
revenge,80
reverence,20
revolt,23
right,207
rivers,14
rogue,20
rotten,33
rough,52
round,53
royal,200
sacred,47
safety,41
saint,107
salerio,7
satisfied,13
saying,43
scarce,69
scene,753
scorn,70
search,29
season,21
second,563
secret,52
seeing,40
senate,28
senator,3
sense,72
sentence,27
servant,129
serve,157
service,332
seven,62
several,79
shadow,48
shake,90
shall,3473
shame,158
shape,54
sharp,60
shepherd,27
shine,28
shore,19
short,64
shortly,29
should,1535
shows,84
sickness,34
sight,94
silence,41
silver,43
simple,73
since,410
single,54
sirrah,13
sister,77
skill,25
slain,51
slander,31
slave,46
sleep,130
slender,23
small,84
smell,42
smile,50
soldier,66
solemn,39
somerset,37
something,155
sometime,73
sooner,51
soothsayer,8
sorrow,118
sorry,75
sought,32
souls,65
sound,130
sovereign,67
spare,55
speak,803
speaks,98
special,36
speech,62
speed,73
spend,60
spirit,147
spite,41
spoke,123
sport,66
spring,34
staff,19
stain,34
stand,469
stars,38
state,166
steal,70
steel,32
steward,15
still,391
stomach,16
stone,22
stood,82
store,24
storm,31
story,41
straight,76
strange,177
street,56
strength,78
strike,118
stroke,31
strong,136
struck,64
study,41
